05.07.2010,Zentrale,kleine Dose Gold und Blau,,"Lager
Geschenke"
,,,,
05.07.2010,Zentrale,Holztruhe groß,,"Lager
Geschenke"
,,,,
05.07.2010,Zentrale,Holztruhe bunt,,"Lager
Geschenke"
,,,,
05.07.2010,Zentrale,Fossile,,"Lager
Geschenke"
,,,,
08.07.2010,Zentrale,"Buch Literat und Europäer,
Tagebücher 1, Sandor Marai",,Büro des BM
,,,,
05.07.2010,Zentrale,5 Münzen 925er Silber von 1989,,"Lager
Geschenke"
,,,,
07.07.2010,Zentrale,"Buch Epizentrum des
Friedens, Nursultan Nasarbajew
Buch Das Haus des
Heimatlosen, Herold Belger
Buch Kasachstan - Daten -
Fakten - Hintergründe 
CDs
Musical Heritage of
Kazakhstan Broschüre Der
Weg nach Europa 2009 - 2011",,"Lager
Geschenke"
,,,,
,,,,
13.07.2010,Zentrale,"Buch/DVD  Die Kissinger Saga",,"Lager
Geschenke"
,,,,
13.07.2010,Zentrale,Plexiglas Kopf,,Büro des BM
,,,,
22.07.2010,Zentrale,"Buch Thailand - Nine days in the
kingdom by 55 great
photographers 2 Jim Thompson
Manschettenknöpfe",,"Lager
Geschenke"
,,,,
14.07.2010,Zentrale,Holzkasten mit Jaspis-Steinplatte,,"Lager
Geschenke"
,,,,
16.07.2010,Zentrale,"Silbermünze und 1 Flasche
Berkut Vodka (nicht an die HV
abgegeben)",,"Lager
Geschenke"
,,,,
16.07.2010,Zentrale,"Traditionelle Kleidung mit
Kopfbedeckung weinrot/gold
Gemälde, brauner Rahmen",,"Lager
Geschenke"
,,,,
16.07.2010,Zentrale,"Brauner Lederkoffer,
verschlossen (enthält
Infomaterial) goldfarbener Apfel
als Briefbeschwerer Kalender in
braunem Ledereinband",,"Lager
Geschenke"
,,,,
23.07.2010,Zentrale,"Buch Maps of Cyprus",,"Lager
Geschenke"
,,,,
23.07.2010,Zentrale,"kleiner silberner Teller mit
Ständer",,"Lager
Geschenke"
,,,,
23.07.2010,Zentrale,"silberner halber Lobeerkranz auf
Holzständer",,"Lager
Geschenke"
,,,,
10.08.2010,Zentrale,"Bild im Silberfarbenen Rahmen,
Gruppenbild mit BM Westerwelle",,"Lager
Geschenke"
,,,,
10.08.2010,Zentrale,Bild rotbrauner Rahmen mit Kunst,,"Lager
Geschenke"
,,,,
10.08.2010,Zentrale,"Gruppenbild „Sondersitzung des
Europäischen Rates 28.04.1990“",,"Lager
Geschenke"
,,,,
01.12.2009,Zentrale,Vase mit Schnaps,,"Lager
Geschenke"
,,,,
01.12.2009,Zentrale,Wandteppich und Tasse,,"Lager
Geschenke"
,,,,
01.12.2009,Zentrale,"Buch „Pakistan from mountains to
sea“",,"Lager
Geschenke"
,,,,
22.04.2010,Zentrale,"Hut mit Ecuador Aufschrift, Buch
über Expressionismus",,"Lager
Geschenke"
,,,,
,,,,
27.05.2010,Zentrale,"Krawatte, Bild mit Briefmarken",,"Lager
Geschenke"
,,,,
06.05.2010,Zentrale,Bild (mit vier runden Früchten),,"Lager
Geschenke"
,,,,
02.05.2010,Zentrale,Briefbeschwerer aus Glas,,"Lager
Geschenke"
,,,,
???,Zentrale,Gebäck- /Obstschale,,"Lager
Geschenke"
,,,,
04.06.2010,Zentrale,8 CDs „Eternal Melody“,,"Lager
Geschenke"
,,,,
???,Zentrale,"Asiatisches Bild auf Rolle in
rosafarbenem Karton",,"Lager
Geschenke"
,,,,
???,Zentrale,Vase verziert,,"Lager
Geschenke"
,,,,
???,Zentrale,"asiatische Deko-Vase mit
Unterteller",,"Lager
Geschenke"
,,,,
???,Zentrale,"Teller eckig, „Sénat“ von Raynand
Limoges“",,"Lager
Geschenke"
,,,,
???,Zentrale,Aquarellbild gerahmt,,"Lager
Geschenke"
,,,,
???,Zentrale,"zwei Bilderrahmen Holz- bzw.
Goldfarbener Rahmen)",,"Lager
Geschenke"
,,,,
???,Zentrale,Porzellanschale Palazzo Chigi,,"Lager
Geschenke"
,,,,
???,Zentrale,Nepalesischer Dolch in Scheide,,"Lager
Geschenke"
,,,,
???,Zentrale,Briefbeschwerer in Verpackung,,"Lager
Geschenke"
,,,,
???,Zentrale,"CD des Qatar Symphony
Orchesters in
Geschenkeverpackung",,"Lager
Geschenke"
,,,,
???,Zentrale,"Glasschale in
Geschenkeverpackung",,"Lager
Geschenke"
,,,,
???,Zentrale,"Ornament in
Geschenkeverpackung",,"Lager
Geschenke"
,,,,
06.07.2010,Zentrale,"Stifbehälter in
Geschenkeverpackung",,"Lager
Geschenke"
,,,,
