Datum ,DienststelleBeschreibung ,Wert
06.10.2010 ,Zentrale ,Bunter Seiden-Kissenbezug
"",Botschaft ,1 Schreibset Marlene Dietrich,""
04.08.2010 ,Doha ,Limited Edition ,1300
"",Botschaft,"",""
04.08.2010 ,Doha ,1 Schreibset Arturo Toscanini ,930
"","","2 Armbanduhren Marke Meyers, ","Über 1.000,-"
07.10.2010 ,Zentrale ,Lady Beach,""
18.02.2010 ,Zentrale ,Porzellanpferd,""
"","",Schwarze Lederbrieftasche in,""
05.10.2010 ,Zentrale ,blauer Pappbox,""
"","",Hölzerne Schmuckbox mit,""
"","",silberfarbener Einlegearbeit in,""
14.10.2010 ,Zentrale ,dunkelroter Pappbox,""
"","",Grüne Vase mit goldener Gravur,""
08.10.2010 ,Zentrale ,in brauner Holzbox,""
11.10.2010 ,Zentrale ,aus Holz geschnitzte Statue,""
18.11.2010 ,Zentrale ,Lampe mit Holzsockel,""
18.11.2010 ,Zentrale ,"Steinplatte """"Eternal Gandhi""""",""
"","","Glasständer """"Seven Social Sins""""",""
18.11.2010 ,Zentrale ,- Eternal Gandhi,""
"","","Briefbeschwerer Kunsttoff """"Indian",""
18.11.2010 ,Zentrale ,"Institute of Technology""""",""
"","",Blaue Samtbox mit silberner,""
18.11.2010 ,Zentrale ,Schale,""
"","","Buch """"Hegau, Singen,",""
23.11.2010 ,Zentrale ,"Untersee""""",""
"","","Bild """"Stoffblumen"""" mit",""
26.11.2010 ,Zentrale ,vergoldetem Rahmen,""
"","",Ebenholz Schnitzerie mit,""
18.11.2010 ,Zentrale ,Vogelmotiven (Wandschmuck),""
29.10.2010 ,Zentrale ,Teppich,""
"","",2 Broschüren in russischer,""
31.10.2010 ,Zentrale ,Sprache und eine CD,""
31.10.2010 ,Zentrale ,Bild mit braunem Holzrahmen,""
"","","Bildband """"Moskau"""", Nikolai"
31.10.2010 ,Zentrale ,Rakhmanov
"","","Bildband """"Nida Brücke"""", Saulius"
01.11.2010 ,Zentrale ,Kruopis
02.11.2010 ,Zentrale ,"Bildband """"Treasures of Belarus"""""
03.11.2010 ,Zentrale ,"Buch """"Verbüdungshaus Fforst"""""
"","","Buch """"Die Viadrina"""", Richard"
03.11.2010 ,Zentrale ,Pyritz
"","","Buch """"Frankfurt(Oder) und"
03.11.2010 ,Zentrale ,"Slubice, Winfried Mausolf"
03.11.2010 ,Zentrale ,"Buch """"Slubice"""""
"","",vergoldete Münze in
