|1 Buch|,2015,00,00,37.80,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,35.00,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,37.80,False,True,|Aufnahme Bestand Bibliothek|,False,BMF
|1 Buch|,2015,00,00,22.00,True,False,|Verwertung|,False,BMF
|1 kl. Christstollen|,2015,00,00,10.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,37.80,False,True,|Verwertung|,False,BMF
|1 Buch|,2015,00,00,37.80,False,True,|Verwertung|,False,BMF
|1 Lebensmittelpräsent|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Lebensmittelpräsent|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Buch|,2015,00,00,00.00,True,False,|Aufnahme Bestand Bibliothek|,False,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
|1 Blumenstrauß, Schokolade|,2015,00,00,40.00,False,True,|Eigenbehalt|,True,BMF
|Schokolade|,2015,00,00,00.00,True,False,|Eigenbehalt|,True,BMF
