"Kl. Buch m. Sachgeschichten, 2011, 12, 28, 00,00, Rueckgabe, fail, BMAS
65 g Lindt-Weihnachtsschokolade als Weihnachtsgruß, 2011, 12, 14, 00,00, Behalten, success, BMAS
Holzstern als Weihnachtsgruß, 2011, 12, 14, 00,00, Behalten, success, BMAS
Monatskalender 2011 (Eigenherstellung des ICP) als Neujahrsgruß, 2011, 12, 14, 00,00, Behalten, success, BMAS
Schwarzwälter Schiken Weihnachtsgruß, 2011, 12, 16, 00,00, Behalten, success, BMAS
Christstollen als Aufmerksamkeit für Weihnachten, 2011, 12, 15, 00,00, Behalten, success, BMAS
Kiste mit sechs Pears (Birnenfrüchte) als Weihnachts-/Neujahrsgruß, 2011, 1, 10, 00,00, Behalten, success, BMAS
Publikation: The White House - The History Of An American Idea bei Veranstaltung im BMAS zur deutschen Arbeitsmarktpolitik, 2011, 6, 10, 00,00, Behalten, success, BMAS
Thermobecher, 2011, 11, 18, 00,00, Behalten, success, BMAS
"Schreibblock, 2011, 7, 18, 00,00, Abgabe Dienstherr, fail, BMAS
Mittagessen Deutscher Landkreistag, 2011, 7, 18, 00,00, Behalten, success, BMAS
"Tischuhr (versilbert) bei Besuch einer niederländischen Delegation, 2011, 9, 13, 00,00, Rueckgabe, fail, BMAS
1 Thermobecher mit dem LOGO IAS im Zuge der Zusammenarbeit, 2011, 11, 17, 00,00, Behalten, success, BMAS
CeBIT-Karte Hannover, 2011, 2, 14, 00,00, Behalten (Dienstgebrauch), success, BMAS
Grillfest ehem. Kollegen am Rhein/Nutzung Tiefgarage + Imbiss, 2011, 4, 12, 00,00, Behalten, success, BMAS
"Buch ""Zeitbombe Internet"" als Weihnachtspräsent", 2011, 12, 19, 00,00, Behalten, success, BMAS
"Eintrittskarte Bundesgartenschau Koblenz, 2011, 6, 7, 00,00, Abgabe Dienstherr, fail, BMAS
"Flasche Wein (Staatliche Weinbaudomäne Oppenheim, 2011, 7, 26, 00,00, Behalten (Dienstgebrauch), success, BMAS
Flasche Wein (Wachtenburg Secco weiß trocken), 2011, 7, 26, 00,00, Behalten, success, BMAS
Kalender, 2011, 1, 4, 00,00, Behalten, success, BMAS
Adventskalender, 2011, 1, 4, 00,00, Behalten, success, BMAS
Wandkalender als Weihnachtspräsent, 2011, 12, 21, 00,00, Behalten, success, BMAS
Wandkalender Ikebana 2012, 2011, 11, 29, 00,00, Behalten, success, BMAS
Stickereimotive (im Plastikrahmen) am 11.11.2010, 2011, 1, 10, 00,00, Behalten, success, BMAS
Bild bei Besuch einer Delegation aus China am 02.11.2010, 2011, 1, 10, 00,00, Behalten, success, BMAS
Qayang Golek (Schattenpuppe aus Plastik) bei Besuch einer Delegation aus Indonesien am 20.12.2010, 2011, 1, 10, 00,00, Behalten, success, BMAS
3 Flaschen Sekt, 2011, 6, 20, 00,00, Behalten, success, BMAS
1 Küchenmesser (Obstmesser) aus Solingen mit vergoldeter Klinge bei Implementierungsreise Stadt Solingen, 2011, 10, 27, 00,00, Behalten, success, BMAS
