1 Uhr, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Սhr, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
1 Powerbank-Akku, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, 169,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, 169,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, 169,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
'Schal, Kalender', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 kl. Bild, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Schale, Bundesfinanzministerium, 2015, < 5,00 , Behalten, BMF, success
1 kl. Bild, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Nüsse, 1 Wandteller', Bundesfinanzministerium, 2015, <25,00 , Behalten, BMF, success
1 Gemälde, Bundesfinanzministerium, 2015, n.a.,  Verwertung, BMF, fail
1 Schal, Bundesfinanzministerium, 2015, <25,00 ,  Verwertung, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, <25,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
'Schokolade, kl. Blumenstrauß', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 FI. Wein, Bundesfinanzministerium, 2015, < 25,00 ,  Verwertung, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, ca. 80,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Bild, Bundesfinanzministerium, 2015, <25,00 , Behalten, BMF, success
Lebensmittel, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 DVD, Bundesfinanzministerium, 2015, < 25,00 ,  Verwertung, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
'Schokolade, Wimpel', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Fl. Wein, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Fl. Wein, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 F. Wein, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Ikone, Bundesfinanzministerium, 2015, n.a.,  Verwertung, BMF, fail
DVD, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Lebensmittel, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, ca. 45 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, < 25,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Schal, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 Journal, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, ca. 80,οο ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, < 25,00 ,  Verwertung, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
'Kaffeetasse, Regenschirm, Schokolade', Bundesfinanzministerium, 2015, ca. 15,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
'1 Schal, Tasse, Broschüre', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, ca. 35,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Wandteller, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, ca. 15,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
2 Eintrittskarten, Bundesfinanzministerium, 2015, ca. 99,00 , Behalten, BMF, success
'Kalender, 2 Mini-Christstollen', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Eintrittskarte, Bundesfinanzministerium, 2015, 15,00 , Behalten, BMF, success
Eintrittskarte, Bundesfinanzministerium, 2015, 15,00 , Behalten, BMF, success
Eintrittskarte, Bundesfinanzministerium, 2015, 15,00 , Behalten, BMF, success
Eintrittskarte, Bundesfinanzministerium, 2015, 15,00 , Behalten, BMF, success
Eintrittskarte, Bundesfinanzministerium, 2015, 15,00 , Behalten, BMF, success
Eintrittskarte, Bundesfinanzministerium, 2015, 15,00 , Behalten, BMF, success
Eintrittskarte, Bundesfinanzministerium, 2015, 15,00 , Behalten, BMF, success
Eintrittskarte, Bundesfinanzministerium, 2015, 15,00 , Behalten, BMF, success
Eintrittskarte, Bundesfinanzministerium, 2015, 15,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, ca. 22,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, ca. 33,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Messingkännchen, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
